Customer ID,Customer Name,email,phone,address,Segment,Country,City,State,Postal Code,Region
PW-19240,Pierre Wener,bettysullivan808@gmail.com,421.580.0902x9815,"001 Jones Ridges Suite 338
Johnsonfort, FL 95462",Consumer,United States,Louisville,Colorado,80027,West
GH-14410,Gary567 Hansen,austindyer948@gmail.com,001-542-415-0246x314,"00347 Murphy Unions
Ashleyton, IA 29814",Home Office,United States,Chicago,Illinois,60653,Central
KL-16555,Kelly Lampkin,clarencehughes280@gmail.com,7185624866,"007 Adams Lane Suite 176
East Amyberg, IN 34581",Corporate,United States,Colorado Springs,Colorado,80906,West
AH-10075,Ad.       ..am Hart,angelabryant256@gmail.com,265.101.5569x1098,"01454 Christopher Turnpike
North Ryanstad, MI 36226",Corporate,United States,Columbus,Ohio,43229,East
PF-19165,Philip Fox,kristinereynolds576@gmail.com,001-473-645-2141x9154,"0158 Harris Ways Suite 085
East Laceyside, SD 35649",Consumer,United States,San Diego,California,92105,West
SC-20680,Steve Carroll,jasoncontreras178@gmail.com,(563)647-4830x5318,"01630 Tammy Prairie
North Daniel, KS 26404",Home Office,United States,Seattle,Washington,98105,West
JR-15700,Jocasta Rupert,johncombs689@gmail.com,-6181,"019 Emily Corner Apt. 810
Ryantown, SC 37010",Consumer,United States,Jacksonville,Florida,32216,South
AB-10105,Adrian Barton,daviddavis980@gmail.com,067.435.8553x692,"021 Katherine Mall
Jameston, DC 24685",Consumer,United States,Phoenix,Arizona,85023,West
PT-19090,Pete@#$ Takahito,mikaylaarnold666@gmail.com,786.638.6820,"0236 Lane Squares
Port Samantha, ME 15670",Consumer,United States,San Antonio,Texas,78207,Central
SG-20605,Speros Goranitis,brianjoyce110@gmail.com,3528465094,"02401 Angela Loop Apt. 678
Port John, ME 43448",Consumer,United States,Lafayette,Indiana,47905,Central
MH-17785,Maya Herman,christinasalas345@gmail.com,(722)376-5599x0693,"026 Colon Hill
New Pedromouth, CA 18437",Corporate,United States,San Diego,California,92105,West
KB-16240,Karen Bern,christopherperez199@gmail.com,817.409.0760x92195,"026 White Squares
Robertton, VA 78741",Corporate,United States,Odessa,Texas,79762,Central
JM-15535,Jessica Myrick,nicholasrussell869@gmail.com,924.484.7935,"02785 Johnson Shore
South Nathan, KY 45544",Consumer,United States,New York City,New York,10035,East
JH-16180,Justin Hirsh,kellymartinez374@gmail.com,001-361-720-6500x0984,"0317 Parker Lane
Port Jennifer, OK 19258",Consumer,United States,Philadelphia,Pennsylvania,19140,East
CS-12400,Christopher Schild,matthewwilliams637@gmail.com,106-229-5443x7580,"034 Lynch Squares
North Benjaminside, MH 42764",Home Office,United States,Philadelphia,Pennsylvania,19134,East
LR-17035,Lisa Ryan,lorimorrow317@gmail.com,(549)707-5809,"035 Cox View Suite 514
East Carlton, VA 31206",Corporate,United States,Santa Clara,California,95051,West
TW-21025,Tam&^*ara Willing___)ham,selenajones479@gmail.com,2323700362,"03551 Michael Shore
Lake Barryview, MH 82312",Home Office,United States,Charlottesville,Virginia,22901,South
SR-20425,Sharelle Roach,raymondpeck288@gmail.com,897-362-7773,"03958 Shane Lakes
New Jessicatown, AR 78525",Home Office,United States,Louisville,Colorado,80027,West
AS-10285,Alejandro Savely,laceymercado410@gmail.com,2167104605,"04225 Lee Manor
Castroville, HI 72528",Corporate,United States,San Francisco,California,94109,West
KB-16405,Kat rina Bavinger,michaelwood756@gmail.com,001-347-866-9161x248,"0432 Jennifer Port Suite 897
Johnstad, AR 12201",Home Office,United States,Apple Valley,California,92307,West
DW-13480,Dianna Wilson,alejandrobailey724@gmail.com,(432)851-1371x262,"04653 Fischer Valley
East Daltonhaven, MO 31850",Home Office,United States,Lakeville,Minnesota,55044,Central
JG-15310,Jason Gross,danielpaul555@gmail.com,035.841.4918x9187,"04852 Wise Row
Davidfurt, AR 32041",Corporate,United States,Newark,Ohio,43055,East
TS-21085,Thais Sissman,jamesjohnson660@gmail.com,001-295-152-2880x529,"04890 Sweeney Turnpike
East Mariaside, DC 09754",Consumer,United States,Ormond Beach,Florida,32174,South
KN-16705,       Kristi;'[]na Nunn,sabrinahayes269@gmail.com,#ERROR!,"04950 Joseph Meadow
East Kyleville, FM 82237",Home Office,United States,Sparks,Nevada,89431,West
CM-12115,Chad McGuire,sharonwarner980@gmail.com,033.934.6095x127,"050 Anna Camp
South Jonathan, WY 45473",Consumer,United States,New York City,New York,10011,East
KM-16660,Khloe Miller,rebeccaduncan343@gmail.com,747-163-4436,"05121 Bailey Road Apt. 128
Kimtown, FM 78739",Consumer,United States,San Jose,California,95123,West
HL-15040,Hunter Lopez,williamduncan418@gmail.com,#ERROR!,"053 Cole Crossing Apt. 330
Stephenchester, NH 13417",Consumer,United States,Houston,Texas,77095,Central
SN-20560,Skye Norling,michaellarson861@gmail.com,221.915.9550x053,"053 Taylor Way
West Amyshire, AL 42560",Home Office,United States,Roseville,Michigan,48066,Central
EH-13945,Eric Hoffmann,matthewjackson214@gmail.com,001-121-794-8294x233,"054 Lisa Via
Knightshire, NJ 55533",Consumer,United States,Los Angeles,California,90049,West
FO-14305,Frank Olsen,kendraholder796@gmail.com,#ERROR!,"0543 Martinez Mount Suite 497
South Johnfort, NM 85655",Consumer,United States,Philadelphia,Pennsylvania,19143,East
MO-17500,Mary O'Rourke,christianhernandez412@gmail.com,100-693-3442x52592,"05648 Steve Square
Rodriguezborough, VT 46209",Consumer,United States,The Colony,Texas,75056,Central
CM-12190,Charlotte Melton,brookedurham899@gmail.com,(800)291-2980x90939,"0566 Jordan Curve Suite 033
Port Thomas, CT 88641",Consumer,United States,Philadelphia,Pennsylvania,19134,East
MW-18235,Mitch Willin0009gham,davidhardy395@gmail.com,#ERROR!,"0570 Donna Summit Suite 420
Simpsonhaven, DC 52116",Corporate,United States,Virginia Beach,Virginia,23464,South
JL-15505,Jeremy Lonsdale,veronicajones946@gmail.com,#ERROR!,"0574 Henson Parkway Apt. 729
Gloverborough, AR 56415",Consumer,United States,Westminster,California,92683,West
MA-17560,Matt Abelman,kimberlywright592@gmail.com,(523)588-1399,"0575 Jessica Common
New Christopherside, OH 07974",Home Office,United States,Everett,Massachusetts,2149,East
GK-14620,Grace Kelly,kevinmarshall134@gmail.com,356.320.0764x8509,"05836 Mary Islands Apt. 965
Andrestad, WV 57636",Corporate,United States,Los Angeles,California,90049,West
VM-21685,Valerie Mitchum,pamelathompson911@gmail.com,(693)073-5569x9356,"0592 James Landing Apt. 950
East Steven, NJ 78538",Home Office,United States,Seattle,Washington,98105,West
AM-10360,Alice McCarthy,francisvelez579@gmail.com,036-214-6097,"060 Christopher Extensions
Youngmouth, AR 10160",Corporate,United States,Grand Prairie,Texas,75051,Central
